RUN 201602  DATE 20160229  TIME 19:30 --> 06:00
--------------------------------------------------------------------------------
27399 fields, 10402 skipped,  1011 finished,    0 partly finished, 15986 new
--------------------------------------------------------------------------------
Midnight Moon Coord: 161101.34  -155722.9  Moon Phase:  56.5%
Moon-star distance limit is default as  56.5
 1735 fields removed, too close to the Moon
 5487 fields removed, too close to the Sun
Found: 1326 new blocks,  8764 new fields
--------------------------------------------------------------------------------
No:     Block    Center-RA  Center-Dec   Alt  AirM  Field  Expo   Sec     Start
38:  22531030    105133.10   +225359.9  79.3  1.02      1     1   110  01:05:30
39:  22531320    132055.47   +225359.9  61.4  1.14      1     1   110  01:07:20
40:  22531143    115404.79   +225400.0  78.2  1.02      7     7   770  01:09:10
41:  22531055    110526.81   +225400.0  79.0  1.02      7     7   770  01:22:00
42:  22531256    130845.97   +225400.0  69.5  1.07      6     6   660  01:34:50
43:  23421031    104315.00   +234200.0  71.7  1.05      6     6   660  01:45:50
44:  23421322    132400.47   +234200.0  71.3  1.06      2     2   220  01:56:50
45:  23421119    113025.73   +234200.0  77.7  1.02      7     7   770  02:00:30
46:  23421144    115453.52   +234200.0  79.4  1.02      7     7   770  02:13:20
47:  23421257    130816.89   +234200.0  79.2  1.02      7     7   770  02:26:10
48:  23421055    110557.94   +234200.0  65.6  1.10      7     7   770  02:39:00
49:  24301145    115551.27   +243000.0  73.4  1.04      7     7   770  02:51:50
50:  24301120    113114.29   +243000.0  65.8  1.10      7     7   770  03:04:40
51:  24301234    124836.24   +243000.0  78.4  1.02      5     5   550  03:17:30
52:  25181235    125708.48   +251800.0  78.8  1.02      1     1   110  03:26:40
53:  24301259    130942.23   +243000.0  79.9  1.02      7     7   770  03:28:30
54:  25181300    131117.96   +251800.0  78.7  1.02      7     7   770  03:41:20
55:  24301323    132531.72   +243000.0  78.4  1.02      2     2   220  03:54:10
56:  25181325    132713.63   +251800.0  78.6  1.02      2     2   220  03:57:50
57:  26061258    130930.48   +260600.0  74.9  1.04      7     7   770  04:01:30
58:  26061323    132906.39   +260600.0  76.2  1.03      4     4   440  04:14:20
59:  26061233    124954.57   +260600.0  66.7  1.09      4     4   440  04:21:40
60:  26531325    133110.23   +265400.0  74.0  1.04      4     4   440  04:29:00
61:  26531300    131126.11   +265400.0  68.4  1.08      7     7   770  04:36:20
62:  26531235    124619.04   +265400.0  60.4  1.15      7     7   770  04:49:10
63:  27421302    131332.72   +274200.0  63.7  1.12      7     7   770  05:02:00
64:  27421328    133513.84   +274200.0  65.5  1.10      5     5   550  05:14:50
65:  28301330    133741.40   +283000.0  64.3  1.11      5     5   550  05:24:00
66:  29181329    133830.77   +291800.0  62.7  1.12      6     6   660  05:33:10
67:  30061332    134312.51   +300600.0  61.6  1.14      7     7   770  05:44:10
68:  31421400    140050.67   +314200.0  62.9  1.12      1     1   110  05:57:00
69:  32301404    140620.69   +323000.0  63.8  1.11      2     2   220  05:58:50
**      TOTAL                                         345   345 37950  06:02:30
--------------------------------------------------------------------------------
Generated at Mon Feb 29 20:05:31 2016
